id_wikidata	article	subject	first_edit	days	avg_pv	avg_pv_prev	size	size_prev	notes	notes_prev	images	images_prev	references	references_prev	incipit_size	incipit_on_size	incipit_prev	issues	issues_prev	issue_sourceNeeded	issue_clarify	discussion_size	discussion_prev	all_visits	VdQ	galleria_su_Commons	pagina_su_commons	pagina_su_wikisource	linguistic_versions
Q1	Universo	Scienze della Terra	2004-04-24	7922	172	498	122033	101763	157	106	11	11	0	0	2358	55.3989	2235	0	0	4	0	67605	67605	1344693	0	Universe			116
Q1001	Mahatma Gandhi	Storia	2004-03-18	7960	717	1605	122416	122434	93	93	17	17	0	0	1726	41.2691	1865	1	1	0	0	50520	50520	4366902	0	Mohandas K. Gandhi	Mohandas K. Gandhi		123
Q1003	Solidarność	#N/A	2004-07-07	7850	99	243	6239	6204	2	2	1	1	0	0	539	23.0486	443	1	0	0	0	1438	1438	433534	0				#N/A
Q1006733	Prateria	Geografia	2006-12-22	6953	36	104	8199	4885	4	0	5	3	0	0	1516	18.9657	926	0	0	0	0	1555	1555	276239	0	Grasslands			47
Q101017	Distillazione	Scienze	2004-12-19	7687	61	231	54177	53853	54	54	20	20	0	0	1569	30.3154	1570	0	0	0	1	16424	16424	756004	0	Distillation			73
Q101274	Protozoa	Scienze	2004-05-26	7895	51	157	19448	19363	3	3	2	2	0	0	1052	32.9803	991	1	1	2	0	6414	6414	450358	0	Protista			78
Q10135	LibreOffice	Informatica	2010-10-22	5556	63	113	58324	58330	93	93	9	9	0	0	888	12.9586	888	0	0	0	0	7558	7558	317192	0	LibreOffice			66
Q101362	Homo erectus	Storia	2004-10-04	7766	118	292	51110	10299	69	6	4	3	0	0	1451	23.3907	1027	0	0	2	0	11955	11955	663778	0	Homo erectus			77
Q101373	Homo habilis	Storia	2005-07-05	7493	110	243	13203	13130	7	7	5	4	0	0	773	1.1134	764	1	1	1	0	147	147	551987	0	Homo habilis			68
Q101395	Numero di massa	Chimica	2004-09-17	7785	24	109	3733	3218	4	3	1	1	0	0	1237	21.9127	831	1	1	0	0	818	818	358820	0				66
Q101487	Esteri	Chimica	2005-05-24	7537	60	228	8686	8577	1	1	1	1	0	0	1196	23.8084	1195	0	0	0	0	2068	2068	707545	0	Esters			66
Q101497	Aldeidi	Chimica	2004-10-05	7769	47	166	17195	11685	22	6	2	2	0	0	3357	45.2108	2061	0	0	0	0	7774	7774	509925	0	Aldehydes			69
Q101534	Rivoluzione di febbraio	Storia	2004-07-21	7846	59	150	40177	38544	59	56	9	9	0	0	1513	22.9485	885	0	0	0	0	9220	9220	150302	0	February Revolution (Russia)			65
Q1016	Libia	Geografia	2004-07-16	7852	426	966	75131	74824	55	53	28	28	0	0	2053	64.7096	1606	2	2	4	1	48617	48617	2180188	0	Libya	ليبيا		146
Q1019	Madagascar	Geografia	2005-02-26	7628	424	1017	64238	62230	37	34	22	22	0	0	3503	15.6325	3385	0	0	4	0	10042	10042	2222411	0	Madagascar	Madagasikara / Madagascar		149
Q101935	Ugonotti	Storia	2005-02-28	7627	120	305	21279	21281	5	5	3	3	0	0	844	19.7002	845	0	0	0	0	4192	4192	648762	0	Huguenots			66
Q101949	Mantello terrestre	Scienze	2004-02-19	8003	38	122	35249	35170	23	23	4	4	0	0	1569	17.4104	1569	0	0	0	0	6137	6137	346260	0	Structure of the Earth			65
Q101965	Esperimento	Fisica	2005-11-18	7366	16	31	14220	14169	18	18	7	7	0	0	952	62.5316	952	0	0	0	0	8892	8892	109707	0	Experiments			72
Q101998	Bioma	Biologia	2004-10-16	7765	73	235	22266	22066	18	18	5	5	0	0	2220	4.4777	2143	0	0	0	0	997	997	572960	0	Biomes			67
Q102083	Cavaliere	Storia	2019-03-30	2488	44	134	67177	67137	60	60	17	17	0	0	2834	3.0606	2822	0	0	0	0	2056	2056	263647	0	Knights			68
Q102192	Acqua dolce	Scienze	2006-05-23	7183	16	55	15406	15427	6	6	3	3	0	0	647	24.7761	647	0	0	0	0	3817	3817	210604	0	Freshwater			65
Q102205	Fluido	Fisica	2004-10-04	7780	24	67	15579	5073	21	4	3	1	0	0	829	4.6280	573	0	0	0	0	721	721	215662	0	Fluid			65
Q1022111	Limite notevole	Matematica	2005-11-09	7380	10	32	12417	12417	0	0	0	0	0	0	383	30.6435	383	1	1	0	0	3805	3805	184420	0				22
Q102416	Cenozoico	Storia	2007-01-15	6949	69	172	5316	5316	4	4	2	2	0	0	396	74.2287	396	0	0	0	0	3946	3946	347690	0	Cenozoic			69
Q1024999	Caccia (musica)	Letteratura italiana	2006-12-30	6966	3	10	3909	3909	1	1	0	0	0	0	275	1.2791	275	0	0	0	0	50	50	23979	0				9
Q102500	Simbolo chimico	Chimica	2005-10-29	7394	9	48	2465	2433	0	0	1	1	0	0	552	12.9006	520	0	0	0	0	318	318	146332	0	Chemical symbols			65
Q102532	Dittongo	Grammatica italiana	2005-07-28	7488	26	76	12670	12161	2	2	0	0	0	0	1264	17.8374	1265	1	1	0	0	2260	2260	381282	0	Diphthongs			62
