id	author	pubb_w	pubbl_it	pubbl_la
255	Luigi Pirandello	Il_fu_Mattia_Pascal	Il_fu_Mattia_Pascal	-
256	Luigi Pirandello	Uno,_nessuno_e_centomila	Uno,_nessuno_e_centomila	-
257	Luigi Pirandello	Novelle_per_un_anno	-	-
258	Luigi Pirandello	Sei_personaggi_in_cerca_d'autore	Sei_personaggi_in_cerca_d%27autore	-
259	Luigi Pirandello	Enrico_IV	Enrico_IV	-
260	Giuseppe Ungaretti	L'allegria	-	-
261	Giuseppe Ungaretti	San_Martino_del_Carso	-	-
262	Giuseppe Ungaretti	Sentimento_del_tempo	-	-
263	Antonio Gramsci	Quaderni_del_carcere	Quaderni_del_carcere	-
264	Umberto Saba	Canzoniere	-	-
265	Umberto Saba	Ernesto	-	-
266	Salvatore Quasimodo	Ermetismo	-	-
267	Salvatore Quasimodo	Oboe_sommerso	-	-
268	Salvatore Quasimodo	Ed_è_subito_sera	-	-
269	Salvatore Quasimodo	Uomo_del_mio_tempo	-	-
270	Salvatore Quasimodo	Alle_fronde_dei_salici	-	-
271	Alberto Moravia	Gli_indifferenti	-	-
272	Alberto Moravia	Agostino	-	-
273	Italo Svevo	Una_vita	-	-
274	Italo Svevo	Senilità	-	-
275	Italo Svevo	La_coscienza_di_Zeno	-	-
276	Carlo Emilio Gadda	Quer_pasticciaccio_brutto_de_via_Merulana	-	-
277	Carlo Emilio Gadda	La_cognizione_del_dolore	-	-
278	Eugenio Montale	Ossi_di_seppia	-	-
279	Eugenio Montale	I_limoni	-	-
280	Eugenio Montale	Non_chiederci_la_parola_che_squadri_da_ogni_lato	-	-
281	Eugenio Montale	Meriggiare_pallido_e_assorto	-	-
282	Eugenio Montale	Spesso_il_male_di_vivere_ho_incontrato	-	-
283	Eugenio Montale	Cigola_la_carrucola_del_pozzo	-	-
284	Eugenio Montale	Le_occasioni	-	-
285	Eugenio Montale	La_bufera_e_altro	-	-
286	Eugenio Montale	Satura_(Montale)	-	-
287	Dino Buzzati	Sessanta_racconti	-	-
288	Dino Buzzati	Il_deserto_dei_Tartari	-	-
289	Cesare Pavese	La_casa_in_collina	-	-
290	Cesare Pavese	La_luna_e_i_falò	-	-
291	Cesare Pavese	Lavorare_stanca	-	-
292	Cesare Pavese	Verrà_la_morte_e_avrà_i_tuoi_occhi	-	-
293	Elsa Morante	Menzogna_e_sortilegio	-	-
294	Elsa Morante	L'isola_di_Arturo	-	-
295	Elsa Morante	La_storia_(romanzo)	-	-
296	Giuseppe_Tomasi_di_Lampedusa	Il_Gattopardo	-	-
297	Primo Levi	Se_questo_è un_uomo	-	-
298	Primo Levi	La_tregua	-	-
299	Primo Levi	I_sommersi_e_i_salvati	-	-
300	Primo Levi	Il_sistema_periodico	-	-
301	Beppe Fenoglio	I_ventitre_giorni_della_città_di_Alba	-	-
302	Beppe Fenoglio	La_malora	-	-
303	Beppe Fenoglio	Una_questione_privata	-	-
304	Beppe Fenoglio	Il_partigiano_Johnny	-	-
305	PPP	La_meglio_gioventù	-	-
306	PPP	Le_ceneri_di_Gramsci	-	-
307	PPP	Ragazzi_di_vita	-	-
308	PPP	Petrolio_(romanzo)	-	-
309	PPP	Mamma_Roma	-	-
310	Leonardo Sciascia	Il_giorno_della_civetta	-	-
311	Leonardo Sciascia	A_ciascuno_il_suo	-	-
312	Italo Calvino	Il_sentiero_dei_nidi_di_ragno	-	-
313	Italo Calvino	Il_visconte_dimezzato	-	-
314	Italo Calvino	Il_barone_rampante	-	-
315	Italo Calvino	Il_cavaliere_inesistente	-	-
316	Italo Calvino	Le_città_invisibili	-	-
317	Italo Calvino	Se_una_notte_d'inverno_un_viaggiatore	-	-
318	Agnolo_Firenzuola	-	-	-
319	Alberto_Arbasino	-	-	-
320	Alda_Merini	-	-	-
321	Aldo_Busi	-	-	-
322	Aldo_Palazzeschi	-	-	-
323	Alessandro_Verri	-	-	-
325	Andrea_Zanzotto	-	-	-
326	Antonella_Anedda	-	-	-
327	Antonio_Pucci_(poeta)	-	-	-
328	Antonio_Tabucchi	-	-	-
329	Arrigo_Boito	-	-	-
330	Aulo_Cornelio_Celso	-	-	-
332	Battista_Guarini	-	-	-
333	Benvenuto_Cellini	-	-	-
334	Bernardo_Dovizi	-	-	-
336	Burchiello	-	-	-
337	Camillo_Sbarbaro	-	-	-
339	Carlo_Betocchi	-	-	-
340	Carlo_Porta	-	-	-
344	Celio_Magno	-	-	-
345	Cesare_Beccaria	-	-	-
346	Ciro_di_Pers	-	-	-
348	Claudio_Magris	-	-	-
349	Clemente_Rebora	-	-	-
351	Delio_Tessa	-	-	-
352	Denis_Diderot	-	-	-
353	Dino_Campana	-	-	-
354	Edoardo_Sanguineti	-	-	-
355	Elio_Vittorini	-	-	-
356	Emile_Zola	-	-	-
357	Emilio_Praga	-	-	-
358	Emilio_Salgari	-	-	-
359	Fabrizio_De_André	-	-	-
360	Federico_De_Roberto	-	-	-
363	Francesco_Berni	-	-	-
364	Francesco_De_Sanctis	-	-	-
365	Francesco_Landini	-	-	-
366	Franco_Fortini	-	-	-
367	Franco_Scataglini	-	-	-
368	G.B. Vico	-	-	-
369	Gabriele D'Annunzio	-	-	-
372	Gaio_Lucilio	-	-	-
374	Gaspara_Stampa	-	-	-
375	Giacomo_Lubrano	-	-	-
376	Giacomo_Noventa	-	-	-
378	Giorgio_Caproni	-	-	-
380	Giovanni_Berchet	-	-	-
381	Giovanni_Della_Casa	-	-	-
382	Giovanni_Pontano	-	-	-
383	Giovanni_Villani	-	-	-
387	Giuseppe_Gioachino_Belli	-	-	-
388	Giuseppe_Pontiggia	-	-	-
389	Giusto_de'_Conti	-	-	-
390	Gneo_Nevio	-	-	-
391	Goffredo_Parise	-	-	-
393	Guido_Gozzano	-	-	-
396	Igino_Ugo_Tarchetti	-	-	-
398	Jacopo_Sannazaro	-	-	-
399	Leon_Battista_Alberti	-	-	-
400	Leonardo_Bruni	-	-	-
401	Leonardo_da_Vinci	-	-	-
402	Livio_Andronico	-	-	-
404	Lorenzo_Da_Ponte	-	-	-
405	Lorenzo_Valla	-	-	-
407	Lucio_Accio	-	-	-
408	Lucio_Giunio_Moderato_Columella	-	-	-
410	Luigi_Capuana	-	-	-
412	Marco_Gavio_Apicio	-	-	-
413	Marco_Pacuvio	-	-	-
414	Marino_Moretti	-	-	-
415	Mario_Luzi	-	-	-
417	Massimo_Bontempelli	-	-	-
418	Masuccio_Salernitano	-	-	-
420	Michelangelo_Buonarroti	-	-	-
421	Milo_De_Angelis	-	-	-
423	Paolo_Sarpi	-	-	-
424	Paolo_Volponi	-	-	-
426	Patrizia_Valduga	-	-	-
428	Pier_Vittorio_Tondelli	-	-	-
430	Pietro_Aretino	-	-	-
431	Pietro_Borsieri	-	-	-
432	Pietro_Giordani	-	-	-
433	Pietro_Metastasio	-	-	-
434	Pietro_Verri	-	-	-
437	Pomponio_Mela	-	-	-
439	Quinto_Curzio_Rufo	-	-	-
440	Quinto_Ennio	-	-	-
441	Quinto_Lutazio_Catulo	-	-	-
442	Ruzante	-	-	-
443	Salvatore_Di_Giacomo	-	-	-
444	Sandro_Penna	-	-	-
445	Sant'Ambrogio	-	-	-
446	Sergio_Corazzini	-	-	-
450	Silvia_Ballestra	-	-	-
453	Teofilo_Folengo	-	-	-
454	Tertulliano	-	-	-
455	Tito_Pomponio_Attico	-	-	-
456	Tommaso_Campanella	-	-	-
457	Umberto_Eco	-	-	-
459	Valerio_Magrelli	-	-	-
461	Vittoria_Colonna	-	-	-
462	Vittorio Sereni	-	-	-
461	Alessandro_Tassoni	-	-	-
463	Voltaire	-	-	-
