id	author	pubb_w	pubbl_it	pubbl_la
1	Plauto	-	-	Aulularia
2	Plauto	-	-	Miles_gloriosus
3	Plauto	-	-	Amphitruo_(Leo)
4	Publio_Terenzio_Afro	-	Andria	Andria
5	Publio_Terenzio_Afro	-	-	Heautontimorumenos
6	Catone	Origines	-	-
7	Catone	De_agri_cultura	-	De_agri_cultura
8	Catone	Carthago_delenda_est	-	-
9	Lucrezio	L'atomismo_di_Lucrezio	-	-
10	Lucrezio	Epicureismo	-	-
11	Lucrezio	De_rerum_natura	La_Natura	De_rerum_natura_(Titus_Lucretius_Carus)
12	Gaio Valerio Catullo	Liber Catullianus	Le_poesie_di_Catullo	Carmina_(Catullus)
13	Marco_Terenzio_Varrone	De Lingua Latina	-	De_Lingua_Latina
14	Marco_Terenzio_Varrone	De Re Rustica	-	Rerum_rusticarum
15	Marco_Terenzio_Varrone	Saturae Menippaee	-	-
16	Cornelio Nepote	De_viris_illustribus	Vite_degli_eccellenti_comandanti	De_viris_illustribus
17	Cesare	De_bello_Gallico	-	Commentarii_de_bello_Gallico
18	Cesare	De bello civili	-	Commentarii_de_bello_civili
19	Sallustio	De_Catilinae_coniuratione	Della_congiura_di_Catilina	De_Catilinae_coniuratione
20	Sallustio	Bellum_Iugurthinum	Il_Giugurtino	Bellum_Iugurthinum
21	Marco_Tullio_Cicerone	Pensiero_politico_di_Cicerone	-	-
22	Marco_Tullio_Cicerone	Laelius_de_amicitia	-	Laelius_de_Amicitia
23	Marco_Tullio_Cicerone	Tusculanae_disputationes	-	Tusculanae_Disputationes
24	Marco_Tullio_Cicerone	De_officiis	Degli_uffici	De_officiis
25	Marco_Tullio_Cicerone	In_Verrem	-	In_Verrem
26	Marco_Tullio_Cicerone	Catilinarie	-	In_L._Catilinam_orationes
27	Marco_Tullio_Cicerone	Filippiche	-	In_M._Antonium_Philippicae
28	Marco_Tullio_Cicerone	Pro_Milone	-	Pro_Milone
29	Marco_Tullio_Cicerone	Brutus	-	Brutus
30	Marco_Tullio_Cicerone	Epistulae_ad_Atticum	-	Epistulae_ad_Atticum
31	Marco_Tullio_Cicerone	Epistulae_ad_familiares	-	Epistulae_ad_Familiares
