id_wikidata	article	subject	first_edit	days	avg_pv	avg_pv_prev	size	size_prev	notes	notes_prev	images	images_prev	references	references_prev	incipit_size	incipit_on_size	incipit_prev	issues	issues_prev	issue_sourceNeeded	issue_clarify	discussion_size	discussion_prev	all_visits	VdQ	galleria_su_Commons	pagina_su_commons	pagina_su_wikisource	linguistic_versions
Q38	Italia	Geografia	2003-10-05	6814.0	8150	8053.0	197520	197336.0	293	274.0	74	75.0	0	46	4458	2.2569866342648846	4718.0	0	0.0	0	0	40739	19359.0	20595114	0	Italy	Italia		168.0
Q30	Stati Uniti d'America	Geografia	2003-10-30	6789.0	4400	4311.0	197628	196364.0	155	149.0	54	54.0	0	26	7934	4.014613313902888	7673.0	0	0.0	2	0	148647	137500.0	11118818	0	United States	United States	Autore:Stati Uniti d'America	167.0
Q458	Unione europea	Geografia	2003-09-05	6844.0	3151	3003.0	255958	249215.0	350	338.0	110	112.0	0	33	4603	1.798341915470507	4009.0	0	0.0	1	1	68962	22748.0	7962045	0	European Union	European Union	Autore:Unione europea	132.0
Q362	Seconda guerra mondiale	Storia	2003-01-21	7071.0	3140	3128.0	266820	266776.0	222	220.0	101	102.0	0	68	3048	1.1423431526872048	3001.0	0	0.0	0	0	48301	48301.0	7934897	0	World War II	World War II		133.0
Q361	Prima guerra mondiale	Storia	2003-10-10	6809.0	2999	3042.0	207592	207468.0	256	256.0	81	81.0	0	2	5627	2.7106054183205517	5606.0	0	0.0	0	0	91678	91678.0	7577493	0	World War I	World War I		130.0
Q762	Leonardo da Vinci	Storia dell'arte	2004-01-17	6710.0	2903	3117.0	231491	224759.0	210	202.0	63	62.0	0	61	1307	0.5646007836157777	1330.0	0	0.0	0	0	68553	38074.0	7336524	0	Leonardo da Vinci	Leonardo da Vinci	Autore:Leonardo da Vinci	132.0
Q25106	Fabrizio De André	Letteratura italiana	2003-08-24	6856.0	2773	2949.0	152134	152278.0	215	216.0	32	33.0	0	125	4396	2.889557889755084	4722.0	1	0.0	4	0	159158	157785.0	7007751	0	Fabrizio De André			32.0
Q52	Wikipedia	Informatica	2003-05-04	6968.0	2634	2853.0	72280	71056.0	58	57.0	12	12.0	0	28	1526	2.1112340896513557	1373.0	0	0.0	1	1	3704	1854.0	6655690	0	Wikipedia	Wikipedia		161.0
Q23559	Benito Mussolini	Storia	2007-04-30	5511.0	2568	2631.0	290607	289102.0	311	307.0	88	89.0	0	64	5484	1.887084619434494	5379.0	0	0.0	13	9	80617	75383.0	6490268	0	Benito Mussolini	Benito Mussolini	Autore:Benito Mussolini	103.0
Q352	Adolf Hitler	Storia	2004-02-09	6687.0	2431	2404.0	104320	188092.0	65	117.0	54	57.0	0	37	5664	5.429447852760736	5622.0	1	0.0	0	0	62642	59842.0	6144095	0	Adolf Hitler	Adolf Hitler	Autore:Adolf Hitler	133.0
Q1067	Dante Alighieri	Letteratura italiana	2003-06-08	6933.0	2227	2262.0	160870	160654.0	202	199.0	33	33.0	0	67	1808	1.1238888543544476	1676.0	0	0.0	0	0	28609	26974.0	5627833	0	Dante Alighieri	Dante Alighieri	Autore:Dante Alighieri	111.0
Q159	Russia	Geografia	2003-07-10	6901.0	2215	1862.0	207170	193648.0	230	219.0	57	54.0	0	31	4208	2.03118212096346	5279.0	0	0.0	2	0	76179	66876.0	5597410	0	Russia	Россия		168.0
Q142	Francia	Geografia	2003-10-30	6789.0	2198	2179.0	157555	161367.0	101	99.0	45	44.0	0	1	7087	4.4981117704928435	7548.0	0	0.0	0	0	40500	33051.0	5555051	0	France	France		163.0
Q172599	Giacomo Leopardi	Letteratura italiana	2006-11-28	5664.0	2144	2273.0	150857	156301.0	237	245.0	34	34.0	0	6	2709	1.795740336875319	2593.0	0	0.0	0	0	82263	80598.0	5416828	0	Giacomo Leopardi	Giacomo Leopardi	Autore:Giacomo Leopardi	56.0
Q517	Napoleone Bonaparte	Storia	2003-02-16	7045.0	2113	2134.0	163087	162083.0	220	218.0	96	96.0	0	49	3411	2.091521703140042	3374.0	1	0.0	0	0	91165	88724.0	5340501	1	Napoleon I of France	Napoléon Bonaparte	Autore:Napoleone Bonaparte	123.0
Q145	Regno Unito	Geografia	2002-11-19	7134.0	2079	2050.0	167326	163460.0	216	210.0	24	24.0	0	17	8460	5.055998470052472	7663.0	0	0.0	2	0	39246	39037.0	5253379	0	United Kingdom	United Kingdom		157.0
Q183	Germania	Geografia	2002-12-15	7108.0	2062	2071.0	144183	143558.0	100	98.0	48	51.0	0	7	5771	4.002552311992399	5895.0	0	0.0	0	0	20816	18034.0	5210399	0	Germany	Deutschland		163.0
Q719967	Costituzione della Repubblica Italiana	Diritto e Economia	2003-04-22	6980.0	2021	2092.0	148875	148487.0	135	134.0	25	25.0	0	12	1511	1.0149454240134341	1412.0	0	0.0	0	0	93898	93022.0	5107217	0	Constitutions of Italy		"Italia	 Repubblica - Costituzione"	29.0
Q148	Cina	Geografia	2004-04-05	6631.0	1947	1974.0	221736	209338.0	251	246.0	63	58.0	0	30	10701	4.826009308366706	9986.0	4	6.0	1	0	110225	104780.0	4919298	0	People's Republic of China	中华人民共和国		164.0
Q39	Svizzera	Geografia	2003-06-10	6931.0	1846	1867.0	248397	250467.0	190	189.0	117	118.0	0	3	9624	3.8744429280546866	8977.0	0	0.0	0	3	80086	80086.0	4663904	0	Switzerland	Confoederatio Helvetica	Autore:Confederazione Svizzera	154.0
Q29	Spagna	Geografia	2003-05-10	6962.0	1846	1890.0	99985	101676.0	68	69.0	46	52.0	0	3	4842	4.842726408961344	6157.0	0	0.0	0	0	17572	17572.0	4664023	0	Spain	España	Autore:Regno di Spagna	163.0
Q46	Europa	Geografia	2004-06-13	6562.0	1845	1835.0	112668	113336.0	88	86.0	19	29.0	0	-	813	0.7215890936201939	876.0	0	0.0	2	0	47965	46217.0	4662611	0	Europe	Europe		158.0
Q238	San Marino	Geografia	2003-04-27	6975.0	1830	1832.0	96472	93264.0	46	43.0	32	33.0	0	8	4832	5.008707189650883	4660.0	1	1.0	0	0	53328	51400.0	4624589	0	San Marino	San Marino		144.0
Q193236	Gabriele D'Annunzio	Letteratura italiana	2004-03-11	6656.0	1816	1844.0	221515	220163.0	137	134.0	96	96.0	0	106	2674	1.207141728551114	2673.0	1	1.0	0	0	10148	9329.0	4589506	0	Gabriele D'Annunzio	Gabriele d'Annunzio	Autore:Gabriele D'Annunzio	62.0
Q212	Ucraina	Geografia	2004-07-09	6536.0	1802	865.0	90094	74773.0	59	36.0	48	48.0	0	11	4679	5.193464603636202	5507.0	1	0.0	0	0	41707	19001.0	4552844	0	Ukraine	Україна		157.0
Q10693	Tavola periodica degli elementi	Chimica	2003-09-06	6843.0	1761	1782.0	64955	64370.0	92	92.0	19	19.0	0	9	757	1.1654222153798783	759.0	0	0.0	0	0	23125	21802.0	4450717	0	Periodic table	Periodic table of elements		131.0
Q177854	Lorenzo de' Medici	Letteratura italiana	2006-12-01	5661.0	1742	1910.0	125140	121439.0	190	191.0	38	29.0	0	20	3250	2.597091257791274	3308.0	0	0.0	0	0	29094	28631.0	4401853	0	Lorenzo de' Medici	Lorenzo il Magnifico	Autore:Lorenzo de' Medici	60.0
Q17	Giappone	Geografia	2006-11-24	5668.0	1739	1764.0	191685	195463.0	214	212.0	57	57.0	0	16	4170	2.175444087956804	3939.0	0	0.0	0	0	60590	58626.0	4394634	0	Japan	日本		167.0
Q233	Malta	Geografia	2003-04-01	7001.0	1720	1773.0	75678	70911.0	90	78.0	29	25.0	0	16	3762	4.971061603107905	3944.0	1	0.0	3	0	20318	20318.0	4346421	0	Malta	Malta		147.0
Q25120	Pier Paolo Pasolini	Letteratura italiana	2004-03-04	6663.0	1716	1658.0	166669	159818.0	252	233.0	23	22.0	0	12	1518	0.9107872489785143	936.0	0	0.0	0	0	65448	64778.0	4336933	0	Pier Paolo Pasolini	Pier Paolo Pasolini	Autore:Pier Paolo Pasolini	62.0
Q801	Israele	Geografia	2006-12-01	5661.0	1620	1701.0	175959	167418.0	187	163.0	19	20.0	0	6	7714	4.3839758125472414	7503.0	2	2.0	29	0	121130	84746.0	4094426	0	Israel	Israel		149.0
Q5086	Muro di Berlino	Storia	2004-02-14	6682.0	1606	1693.0	45879	46176.0	27	27.0	11	11.0	0	25	2666	5.810937465943024	2719.0	0	0.0	0	0	38754	37999.0	4057779	0	Berlin Wall	Berlin Wall		97.0
Q408	Australia	Geografia	2004-01-10	6717.0	1594	1633.0	122661	117618.0	67	58.0	44	44.0	0	7	2309	1.8824239163222214	2221.0	0	0.0	0	0	64200	63322.0	4029151	0	Australia	Australia		161.0
Q1210	Lombardia	Geografia	2003-02-23	7038.0	1587	1672.0	191353	189034.0	256	254.0	101	99.0	0	19	2163	1.1303716168547135	1844.0	0	0.0	0	0	81750	80746.0	4009210	0	Lombardy	Lombardia	Autore:Regione Lombardia	88.0
Q307	Galileo Galilei	Fisica	2003-11-06	6782.0	1578	1633.0	199874	191491.0	219	209.0	36	36.0	0	13	8023	4.014028838168046	7824.0	0	0.0	0	0	293354	292494.0	3988478	0	Galileo Galilei	Galileo Galilei	Autore:Galileo Galilei	118.0
