id_wikidata	article	subject	first_edit	days	avg_pv	avg_pv_prev	size	size_prev	notes	notes_prev	images	images_prev	references	references_prev	incipit_size	incipit_on_size	incipit_prev	issues	issues_prev	issue_sourceNeeded	issue_clarify	discussion_size	discussion_prev	all_visits	VdQ	galleria_su_Commons	pagina_su_commons	pagina_su_wikisource	linguistic_versions
Q38	Italia	Geografia	2003-10-05	6814	7514	8150	213518	197520	316	293	81	74	0	0	5173	2.42274656	4458	0	0	0	0	56732	40739	23534751	0	Italy	Italia		168
Q762	Leonardo da Vinci	Storia dell'arte	2004-01-17	6710	1512	2903	238600	231491	218	210	62	63	0	0	1294	0.5423302598	1307	0	0	260	0	82857	68553	7916468	0	Leonardo da Vinci	Leonardo da Vinci	Autore:Leonardo da Vinci	132
Q30	Stati Uniti d'America	Geografia	2003-10-30	6789	3404	4400	201615	197628	157	155	53	54	0	0	7924	3.930263125	7934	0	0	0	0	148647	148647	12472751	0	United States	United States	Autore:Stati Uniti d'America	167
Q1067	Dante Alighieri	Letteratura italiana	2003-06-08	6933	1724	2227	162314	160870	203	202	33	33	0	0	1811	1.11573863	1808	0	0	0	0	28811	28609	6287190	0	Dante Alighieri	Dante Alighieri	Autore:Dante Alighieri	111
Q889	Afghanistan	Geografia	2005-01-06	6355	680	1028	64778	63637	45	44	14	14	0	0	3963	6.117817778	3459	0	0	2	0	88906	58619	2865641	0	Afghanistan	افغانستان		149
Q458	Unione europea	Geografia	2003-09-05	6844	2278	3151	255730	255958	342	350	109	110	0	0	4760	1.86133813	4603	0	0	1	1	69998	68962	8863573	0	European Union	European Union	Autore:Unione europea	132
Q362	Seconda guerra mondiale	Storia	2003-01-21	7071	2029	3140	267267	266820	222	222	101	101	0	0	3110	1.163630377	3048	0	0	0	0	48988	48301	8757122	0	World War II	World War II		133
Q361	Prima guerra mondiale	Storia	2003-10-10	6809	2287	2999	207560	207592	256	256	79	81	0	0	5601	2.69849682	5627	0	0	0	0	91678	91678	8484784	0	World War I	World War I		130
Q23559	Benito Mussolini	Storia	2007-04-30	5511	2370	2568	295426	290607	318	311	90	88	0	0	4792	1.622064409	5484	0	0	13	8	24611	80617	7407001	0	Benito Mussolini	Benito Mussolini	Autore:Benito Mussolini	103
Q145	Regno Unito	Geografia	2002-11-19	7134	2291	2079	166685	167326	213	216	24	24	0	0	8064	4.837867835	8460	0	0	2	0	40589	39246	6142361	0	United Kingdom	United Kingdom		157
Q238	San Marino	Geografia	2003-04-27	6975	1373	1830	98374	96472	51	46	31	32	0	0	3106	3.157338321	4832	1	1	1	1	62401	53328	5161905	0	San Marino	San Marino		144
Q801	Israele	Geografia	2006-12-01	5661	1155	1620	85602	175959	122	187	14	19	0	0	5095	5.951963739	7714	2	2	1	0	134065	121130	4541941	0	Israel	ישראל / إسرائيل		149
Q352	Adolf Hitler	Storia	2004-02-09	6687	1703	2431	104613	104320	66	65	53	54	0	0	5527	5.283282192	5664	0	1	1	0	63709	62642	6814736	0	Adolf Hitler	Adolf Hitler	Autore:Adolf Hitler	133
Q517	Napoleone Bonaparte	Storia	2003-02-16	7045	1785	2113	163816	163087	220	220	96	96	0	0	3411	2.082214192	3411	1	1	0	0	93892	91165	6035250	1	Napoleon I of France	Napoléon Bonaparte	Autore:Napoleone Bonaparte	123
Q10806	Attentati dell'11 settembre 2001	Storia	2003-02-28	7033	1031	1464	242870	239317	380	376	29	30	0	0	4490	1.848725656	4462	0	0	0	0	58498	57786	4099584	0	September 11 attacks			100
Q142	Francia	Geografia	2003-10-30	6789	2116	2198	167895	157555	107	101	55	45	0	0	7148	4.257422794	7087	0	0	0	0	42293	40500	6381919	0	France	France		163
Q719967	Costituzione della Repubblica Italiana	Diritto e Economia	2003-04-22	6980	1117	2021	151865	148875	143	135	25	25	0	0	1512	0.9956211109	1511	0	0	0	0	93898	93898	5559028	0	Constitutions of Italy		Italia, Repubblica - Costituzione	29
Q7742	Luigi XIV di Francia	Storia	2004-08-26	6488	1318	1438	138216	138031	54	53	52	50	0	0	2483	1.796463506	2353	0	0	0	0	10490	10490	4162782	0	Louis XIV of France	Louis XIV de France		96
Q183	Germania	Geografia	2002-12-15	7108	1683	2062	149010	144183	103	100	49	48	0	0	5851	3.926582109	5771	0	0	0	0	20816	20816	5871034	0	Germany	Deutschland		163
Q25106	Fabrizio De André	Letteratura italiana	2003-08-24	6856	1332	2773	152042	152134	204	215	35	32	0	0	3947	2.595993212	4396	1	1	4	0	174958	159158	7541396	0	Fabrizio De André			32
Q193236	Gabriele D'Annunzio	Letteratura italiana	2004-03-11	6656	1678	1816	214134	221515	148	137	90	96	0	0	3036	1.417803805	2674	1	1	0	0	13220	10148	5280817	0	Gabriele D'Annunzio	Gabriele d'Annunzio	Autore:Gabriele D'Annunzio	62
Q7207	Elisabetta I d'Inghilterra	Storia	2004-10-25	6428	1463	1514	49940	48364	25	24	19	19	0	0	1859	3.72246696	1844	0	0	0	0	7452	7312	4392992	0	Elizabeth I of England	Elizabeth I of England		101
Q159	Russia	Geografia	2003-07-10	6901	2219	2215	214120	207170	241	230	59	57	0	0	4397	2.05352139	4208	0	0	0	0	86170	76179	6468500	0	Russia	Россия		168
Q10693	Tavola periodica degli elementi	Chimica	2003-09-06	6843	1634	1761	66567	64955	95	92	19	19	0	0	759	1.140204606	757	0	0	0	0	23316	23125	5074051	0	Periodic table	Periodic table of elements		131
Q148	Cina	Geografia	2004-04-05	6631	1400	1947	225381	221736	254	251	64	63	0	0	11273	5.001752588	10701	4	4	1	0	111842	110225	5467706	0	People's Republic of China	中华人民共和国		164
Q46	Europa	Geografia	2004-06-13	6562	1427	1845	153250	112668	117	88	31	19	0	0	891	0.5814029364	813	0	0	2	0	49689	47965	5221447	0	Europe	Europe		158
Q17	Giappone	Geografia	2006-11-24	5668	1450	1739	197271	191685	221	214	56	57	0	0	3834	1.943519321	4170	0	0	0	0	60590	60590	4966496	0	Japan	日本		167
Q39	Svizzera	Geografia	2003-06-10	6931	1420	1846	247650	248397	195	190	119	117	0	0	9725	3.926912982	9624	0	0	0	2	80120	80086	5217856	0	Switzerland	Switzerland	Autore:Confederazione Svizzera	154
Q1048	Gaio Giulio Cesare	Storia	2006-04-23	5883	1221	1494	169443	168188	235	235	58	58	0	0	5028	2.967369558	4252	0	0	0	0	51274	49828	4250625	0	Julius Caesar	Gaius Iulius Caesar	Autore:Gaio Giulio Cesare	133
Q38370	Enrico VIII d'Inghilterra	Storia	2005-02-25	6305	1014	1248	52579	48983	14	14	22	21	0	0	1097	2.086384298	1100	0	0	0	0	6420	6128	3547796	0	Henry VIII of England	Henry VIII of England		83
Q29	Spagna	Geografia	2003-05-10	6962	1469	1846	103933	99985	67	68	46	46	0	0	4919	4.732856744	4842	0	0	0	0	17572	17572	5240330	0	Spain	España	Autore:Regno di Spagna	163
Q40185	Divina Commedia	Letteratura italiana	2002-01-31	7426	848	1264	152549	152084	82	82	20	20	0	0	6773	4.439884889	6892	0	0	0	0	32258	31371	3520313	0	The Divine Comedy		Opera:Divina Commedia	75
Q153670	Primo Levi	Letteratura italiana	2004-04-11	6625	963	1274	58061	55623	51	47	14	14	0	0	1698	2.924510429	1692	0	0	0	0	61281	61281	3605734	0	Primo Levi		Autore:Primo Levi	55
Q172599	Giacomo Leopardi	Letteratura italiana	2006-11-28	5664	1594	2144	141585	150857	235	237	32	34	0	0	2655	1.875198644	2709	0	0	0	0	83022	82263	6047124	0	Giacomo Leopardi	Giacomo Leopardi	Autore:Giacomo Leopardi	56
Q1405	Augusto	Storia	2003-09-08	6841	967	1110	163568	161776	164	163	48	48	0	0	6526	3.989777952	5527	0	0	0	0	24816	24091	3175983	0	Augustus	Augustus	Autore:Augusto	122
