id	author	name	surname	author_w	author_ws_it	author_ws_la	period_	period	source	school
1	Livio_Andronico	Livio	Andronico	Livio_Andronico	Livio_Andronico	Lucius_Livius_Andronicus	III - II sec. a.Ch.n.	-3	la	terzo liceo
2	Gneo_Nevio	Gneo	Nevio	Gneo_Nevio	Gneo_Nevio	-	III - II sec. a.Ch.n.	-3	la	terzo liceo
3	Quinto_Ennio	Quinto	Ennio	Quinto_Ennio	Quinto_Ennio	Quintus_Ennius	III - II sec. a.Ch.n.	-3	la	terzo liceo
4	Plauto	Titus Maccius	Plautus	Plauto	Tito_Maccio_Plauto	Titus_Maccius_Plautus	III - II sec. a.C.	-3	la	terzo liceo
5	Publio_Terenzio_Afro	Publio	Terenzio Afro	Publio_Terenzio_Afro	Publio_Terenzio_Afro	Publio_Terenzio_Afro	III - II sec. a.C.	-3	la	terzo liceo
6	Marco_Pacuvio	Marco	Pacuvio	Marco_Pacuvio	-	-	III - II sec. a.C.	-3	la	terzo liceo
7	Lucio_Accio	Lucio	Accio	Lucio_Accio	Lucio_Accio	Lucius_Accius	III - II sec. a.C.	-3	la	terzo liceo
8	Cecilio_Stazio	Cecilio	Stazio	Cecilio_Stazio	Cecilio_Stazio	Caecilius_Statius	III - II sec. a.C.	-3	la	terzo liceo
9	Catone	Catone	Marco Porcius	Catone	Marco_Porcio_Catone	Marcus_Porcius_Cato	III - II sec. a.C.	-3	la	terzo liceo
10	Gaio_Lucilio	Gaio	Lucilio	Gaio_Lucilio	-	-	III - II sec. a.C.	-3	la	terzo liceo
11	Lucrezio	Lucrezio	Tito Lucrezio	Tito Lucrezio Caro	-	-	I sec. a.C. - Età Cesarea/Ciceroniana	1	la	terzo liceo
12	Quinto_Lutazio_Catulo	Quinto	Lutazio Catulo	Quinto_Lutazio_Catulo_(console_102_a.C.)	-	-	I sec. a.Ch.n. - Età Cesarea/Ciceroniana	1	la	terzo liceo
13	Gaio Valerio Catullo	Gaio Valerio	Catullo	Gaio Valerio Catullo	Gaio_Valerio_Catullo	Gaius_Valerius_Catullus	I sec. a.C. - Età Cesarea/Ciceroniana	-1	la	terzo liceo
14	Marco_Terenzio_Varrone	Marco Terenzio	Varrone	Varrone Reatino	Marco_Terenzio_Varrone	Marcus_Terentius_Varro	I sec. a.C. - Età Cesarea/Ciceroniana	-1	la	terzo liceo
