id	author	pubb_w	pubbl_it	pubbl_la	period	source	school
245	Giovanni Pascoli	La_cavalla_storna	La_cavalla_storna	-	Secondo Ottocento	it	-
246	Giovanni Pascoli	Primi_poemetti	Primi_poemetti	-	Secondo Ottocento	it	-
247	Giovanni Pascoli	Pascoli latinista	Opera_quae_Iohannes_Pascoli_scripsit	-	Secondo Ottocento	it	-
248	Giovanni Pascoli	Dannunzianesimo	-	-	Primo novecento	it	-
249	Giovanni Pascoli	Poeta_vate	-	-	Primo novecento	it	-
250	Giovanni Pascoli	Motti_dannunziani	-	-	Primo novecento	it	-
251	Giovanni Pascoli	Opere_di_D'Annunzio	-	-	Primo novecento	it	-
252	Giovanni Pascoli	Alcyone	Alcyone	-	Primo novecento	it	-
253	Giovanni Pascoli	La_pioggia_nel_pineto	La_pioggia_nel_pineto	-	Primo novecento	it	-
254	Giovanni Pascoli	Il_piacere	Il_piacere	-	Primo novecento	it	-
255	Filippo_Tommaso_Marinetti	Manifesto_del_Futurismo	Manifesto_del_futurismo	-	Primo novecento	it	-
256	Filippo_Tommaso_Marinetti	Zang_Tumb_Tumb	boh, non c'è	-	Primo novecento	it	-
257	Luigi Pirandello	Il_fu_Mattia_Pascal	Il_fu_Mattia_Pascal	-	Primo novecento	it	-
258	Luigi Pirandello	Uno,_nessuno_e_centomila	Uno,_nessuno_e_centomila	-	Primo novecento	it	-
259	Luigi Pirandello	Novelle_per_un_anno	-	-	Primo novecento	it	-
260	Luigi Pirandello	Sei_personaggi_in_cerca_d'autore	Sei_personaggi_in_cerca_d%27autore	-	Primo novecento	it	-
261	Luigi Pirandello	Enrico_IV	Enrico_IV	-	Primo novecento	it	-
262	Giuseppe Ungaretti	L'allegria		-	Il secolo breve	it	-
263	Giuseppe Ungaretti	San_Martino_del_Carso		-	Il secolo breve	it	-
264	Giuseppe Ungaretti	Sentimento_del_tempo		-	Il secolo breve	it	-
265	Antonio Gramsci	Quaderni_del_carcere	Quaderni_del_carcere	-	Il secolo breve	it	-
266	Umberto Saba	Canzoniere		-	Il secolo breve	it	-
267	Umberto Saba	Ernesto			Il secolo breve	it	-
268	Salvatore Quasimodo	Ermetismo			Il secolo breve	it	-
269	Salvatore Quasimodo	Oboe_sommerso			Il secolo breve	it	-
270	Salvatore Quasimodo	Ed_è_subito_sera			Il secolo breve	it	-
271	Salvatore Quasimodo	Uomo_del_mio_tempo			Il secolo breve	it	-
272	Salvatore Quasimodo	Alle_fronde_dei_salici			Il secolo breve	it	-
273	Alberto Moravia	Gli_indifferenti			Il secolo breve	it	-
274	Alberto Moravia	Agostino			Il secolo breve	it	-
275	Italo Svevo	Una_vita	Una_vita		Il secolo breve	it	-
276	Italo Svevo	Senilità	Senilità		Il secolo breve	it	-
277	Italo Svevo	La_coscienza_di_Zeno	La_coscienza_di_Zeno		Il secolo breve	it	-
278	Carlo Emilio Gadda	Quer_pasticciaccio_brutto_de_via_Merulana			Il secolo breve	it	-
279	Carlo Emilio Gadda	La_cognizione_del_dolore			Il secolo breve	it	-
280	Eugenio Montale	Ossi_di_seppia			Il secolo breve	it	-
281	Eugenio Montale	I_limoni			Il secolo breve	it	-
282	Eugenio Montale	Non_chiederci_la_parola_che_squadri_da_ogni_lato			Il secolo breve	it	-
283	Eugenio Montale	Meriggiare_pallido_e_assorto			Il secolo breve	it	-
284	Eugenio Montale	Spesso_il_male_di_vivere_ho_incontrato			Il secolo breve	it	-
285	Eugenio Montale	Cigola_la_carrucola_del_pozzo			Il secolo breve	it	-
286	Eugenio Montale	Le_occasioni			Il secolo breve	it	-
287	Eugenio Montale	La_bufera_e_altro			Il secolo breve	it	-
288	Eugenio Montale	Satura_(Montale)			Il secolo breve	it	-
289	Dino Buzzati	Sessanta_racconti			Dopoguerra	it	-
290	Dino Buzzati	Il_deserto_dei_Tartari			Dopoguerra	it	-
291	Cesare Pavese	La_casa_in_collina			Dopoguerra	it	-
292	Cesare Pavese	La_luna_e_i_falò			Dopoguerra	it	-
293	Cesare Pavese	Lavorare_stanca			Dopoguerra	it	-
294	Cesare Pavese	Verrà_la_morte_e_avrà_i_tuoi_occhi			Dopoguerra	it	-
295	Elsa Morante	Menzogna_e_sortilegio			Dopoguerra	it	-
296	Elsa Morante	L'isola_di_Arturo			Dopoguerra	it	-
297	Elsa Morante	La_storia			Dopoguerra	it	-
298	Giuseppe_Tomasi_di_Lampedusa	Il_Gattopardo			Dopoguerra	it	-
299	Primo Levi	Se_questo_è un_uomo			Dopoguerra	it	-
300	Primo Levi	La_tregua			Dopoguerra	it	-
301	Primo Levi	I_sommersi_e_i_salvati			Dopoguerra	it	-
302	Primo Levi	Il_sistema_periodico			Dopoguerra	it	-
303	Beppe Fenoglio	I_ventitre_giorni_della_città_di_Alba			Dopoguerra	it	-
304	Beppe Fenoglio	La_malora			Dopoguerra	it	-
305	Beppe Fenoglio	Una_questione_privata			Dopoguerra	it	-
306	Beppe Fenoglio	Il_partigiano_Johnny			Dopoguerra	it	-
307	PPP	La_meglio_gioventù			Dopoguerra	it	-
308	PPP	Le_ceneri_di_Gramsci			Dopoguerra	it	-
309	PPP	Ragazzi_di_vita			Dopoguerra	it	-
310	PPP	Petrolio			Dopoguerra	it	-
311	PPP	Mamma_Roma			Dopoguerra	it	-
312	Leonardo Sciascia	Il_giorno_della_civetta			Anni 60-70	it	-
313	Leonardo Sciascia	A_ciascuno_il_suo			Anni 60-70	it	-
314	Italo Calvino	Il_sentiero_dei_nidi_di_ragno			Anni 60-70	it	-
315	Italo Calvino	Il_visconte_dimezzato			Anni 60-70	it	-
316	Italo Calvino	Il_barone_rampante			Anni 60-70	it	-
317	Italo Calvino	Il_cavaliere_inesistente			Anni 60-70	it	-
318	Italo Calvino	Le_città_invisibili			Anni 60-70	it	-
319	Italo Calvino	Se_una_notte_d'inverno_un_viaggiatore			Anni 60-70	it	-
