id	subject	school	theme	argument	exhisting	article	average_daily_visit	Visite da 1/7/2015 al 31/05/2020	Media visite giornaliere 2019	size	notes	images	incipit_size	incipit_on_size	issues	Fonte necessaria	Chiarire	discussion_size	year	references	first_edit	days
792	Filosofia	Superiori	Filosofia nella Grecia classica		1	Aristotele	728	1308462	697	96098	87	9	717	0.75	0	0	0	98568	???	22	2004-06-02	5843
2930	Storia	Superiori	XVI-XVII secolo	Cardinale Richelieu	1	Armand-Jean_du_Plessis_de_Richelieu	182	326664	174	37702	19	26	1797	4.77	0	0	0	4805	???	11	???	#VALUE!
3221	Storia	Superiori	XX-XXI secolo	‘8 settembre 1943	1	Armistizio_di_Cassibile	392	703657	390	44024	22	6	1387	3.15	1	2	0	8074	???	7	???	#VALUE!
3047	Storia	Superiori	XVIII-XIX secolo	Armistizio di Villafranca	1	Armistizio_di_Villafranca	75	134154	79	32143	33	11	1437	4.47	0	0	0	29079	???	6	???	#VALUE!
873	Filosofia	Superiori	Tra cinquecente e seicento		1	Arnold Geulincx	2	3861	2	2401	0	0	1767	73.59	0	0	0	208	???	2	2005-06-07	5473
1747	Informatica	Superiori	Programmazione in C ed a oggetti		1	Array	132	236328	93	13152	3	1	946	7.19	1	0	0	1004	2	0	2004-11-13	5679
2067	Letteratura italiana	Superiori	Secondo Ottocento	Scapigliatura	1	Arrigo_Boito	82	146539	74	15167	2	5	237	1.56	0	0	0	1203	2.4	2	2004-12-10	5652
1863	Letteratura italiana	Superiori	Secolo XIV	Forme letterarie	1	Ars_nova	39	70913	35	6786	0	0	1324	19.51	0	0	0	2942	2.3	2	2006-04-06	5170
3498	Storia dell'arte	Superiori	L'Ottocento		1	Art Nouveau	593	1064872	477	39807	20	18	1319	3.31	0	0	0	21541	2.5	26	2005-02-04	5596
3337	Storia dell'arte	Superiori	Le civiltà fluviali		1	Arte assira	29	51443	27	12729	2	10	1168	9.18	0	0	0	46	???	8	2007-10-23	4605
3338	Storia dell'arte	Superiori	Le civiltà fluviali		1	Arte babilonese	21	38021	20	15762	6	6	687	4.36	0	0	0	921	???	5	2011-08-19	3209
3398	Storia dell'arte	Superiori	Arte tardoantica		1	Arte carolingia	31	56388	27	27034	3	16	670	2.48	0	0	0	3608	???	6	2007-04-08	4803
3415	Storia dell'arte	Superiori	Il Quattrocento		1	Arte del Rinascimento	293	527224	243	88455	55	36	368	0.42	0	0	1	1416	???	4	2005-10-08	5350
1614	Informatica	Medie	Competenze digitali con il PC		1	Arte digitale	32	57757	31	7336	2	4	2657	36.22	1	0	0	2620	1	12	2004-03-13	5924
3341	Storia dell'arte	Superiori	Le civiltà fluviali		1	Arte egizia	144	258534	192	44947	22	31	521	1.16	0	0	0	964	???	0	2007-06-15	4735
3375	Storia dell'arte	Superiori	Arte etrusca e romana		1	Arte etrusca	92	165725	75	47113	56	18	845	1.79	0	0	0	6009	???	0	2007-03-12	4830
3404	Storia dell'arte	Superiori	Il Gotico		1	Arte gotica	15	26194	11	20	0	0	17	85.00	0	0	0	0	???	6	2005-01-27	5604
3351	Storia dell'arte	Superiori	Arte greca		1	Arte greca	152	273325	124	42001	23	10	2303	5.48	0	0	0	10070	???	10	2007-07-09	4711
